NAME,SUBSCRIPT,DEFAULT_VALUE,DESCRIPTION,DIMENSIONS
VORTZ,,z vorticity,VORTQ,
DRG,,Normalized drag coefficient,FS,
VMOBS,,Moisture concentration,VFOB,
HYFD,,Flow depth,MHYFD,
HYEL,,Free surface elevation,DAVEL,
OFVEL,,Velocity at specified offset,FROUDE,
SHYHD,,Specific hydraulic head,THYHD,
THEAD,,Total hydraulic head 3D,SCSCLR,
EOF2,,Zeta potential,ECHRG,
FMDEN,,Foam density multiplier,DFAIR,
DISSLV,,Dissolved solute concentration,BURNMF,
MUPOR,,Percent micro-porosity,CONTACT,
DFCTW,,Wicked foam residue concentration,DFCT,
DFCTLF,,Foam residue concentration,RESID,
DFCWE,,Wall defect concentration,RESDT,
FILL1,,Time of first fluid arrival,PCAV,
SEG,,Solute concentration,SSPC,
SSPK,,Suspended sediment species packed volume fraction,ELASTXX,
ELASTYY,,yy component of elastic stress,ELASTZZ,
ELASTXY,,xy component of elastic stress,ELASTYZ,
ELASTXZ,,xz component of elastic stress,NCG,
PATH,,Distance traveled by fluid,TRACER,
TRACERN,,Tracer from flux surface n,EPOT,
EFIELD,,Electric field,STRSXX,
STRSXY,,FSI/TSE stress component xy,STRSXZ,
STRSYY,,FSI/TSE stress component yy,STRSYZ,
STRSZZ,,FSI/TSE stress component zz,DISPX,
DISPY,,FSI/TSE displacement in y-direction,DISPZ,
STRNXX,,FSI/TSE strain component xx,STRNXY,
STRNXz,,FSI/TSE strain component xz,STRNYY,
STRNYZ,,FSI/TSE strain component yz,STRNZZ,
PRVLEXP,,Relative volume expansion,PRISOST,
PRVMISS,,Von Mises stress,TEMP,
PSTRNXX,,FSI/TSE plastic strain component xx,PSTRNXY,
PSTRNXZ,,FSI/TSE plastic strain component xz,PSTRNYY,
PSTRNYZ,,FSI/TSE plastic strain component yz,PSTRNZZ,
PSTRNMG,,FSI/TSE plastic strain magnitude,NAME
NCYC,,0,Total number of thermal cycles,CYCLES
ISEG_TYPE,n,...,Type of cycle segment :envvar:`n`,NONE
CYCSEGNAME,n,...,Name of cycle segment :envvar:`n`,NONE
CYCDT,n,0.0,Duration of segment :envvar:`n` of a cycle,[t]
CYCHT,n,...,Heat transfer coefficient between geometry components and ambient space at cycle segment :envvar:`n`,[M T\ :sup:`-1` t\ :sup:`-3`]
CYCT,n,...,Media (fluid or void) temperature for cycling segment :envvar:`n`,[T]
CYCHTMA,,...,Heat transfer coefficient between metal and air,[M T\ :sup:`-1` t\ :sup:`-3`]
NCYCPT,,1,"Output control for thermal die cycling model; restart spatial data is written for the last :envvar:`NCYCPT` die cycles, in addition to the other requested restart spatial data edits using :envvar:`TPLTD`.",NONE
AUTOT,,1.0,Automatic time-step control flag,NONE
CON,,...,Safety factor for explicit convective time step size stability limit,NON-DIM
CONES,,0.5,Safety factor for explicit elastic stress time step size stability limit,NON-DIM
CONFS,,1.0,Safety factor for free surface stability,NON-DIM
CONHT,,0.45,Safety factor for explicit heat conduction/transfer time step size stability limit,NON-DIM
CONSFT,,...,Safety factor for explicit surface tension time step size stability limit,NON-DIM
CONSHR,,0.45,"Multiplier for sub-time stepping in rapid shrinkage model and microporosity models when used together with the implicit heat transfer solver, :envvar:`IMPHTC` :math:`>` 0.",NON-DIM
DELT,,...,Initial time-step size,[t]
DELTR,,...,Initial time-step size for restart calculation,[t]
DTIMPX,,1.0\ :math:`\times`\ 10\ :sup:`10`,"Maximum Courant number for the implicit advection model, :envvar:`IMPADV` = 1. Used in addition to any other limiting factors.",NON-DIM
DTMIN,,0.00001\ :math:`\times`\ :envvar:`DELT`,Minimum permitted time-step size,[t]
TDTMAX,n,1.0\ :math:`\times`\ 10\ :sup:`10`,The value of the maximum permitted time-step size between times :envvar:`TEDITDT(n-1)` and :envvar:`TEDITDT(n)`,[t]
TEDITDT,n,...,Ending time of edit interval :envvar:`n` for :envvar:`TDTMAX(n)`. Not used if unspecified. ,[t]
IFVIS,,0,Viscosity and turbulence options flag,NONE
IMPVIS,,0,Viscous stress calculation explicit/implicit flag,NONE
IMUT,,0,Thixotropic viscosity flag,NONE
IVISH,,0,Viscous heating flag,NONE
IWSH,,1,Wall shear stress flag,NONE
RMVISZ,,1.5,Vertical viscosity multiplier,NONE
CDIS1,,...,Coefficient of production in turbulent dissipation transport equation,NON-DIM
CDIS2,,...,Coefficient of decay in turbulent dissipation transport equation. :envvar:`CDIS2` is a function of the shear rate for RNG model.,NON-DIM
CDIS3,,0.2,Coefficient of buoyancy in turbulent dissipation transport equation,NON-DIM
CNU,,...,Coefficient in turbulent viscosity evaluation,NON-DIM
CRHO,,0.0,Coefficient of buoyancy in turbulent production,NON-DIM
CSPRO,,1.0,Coefficient of turbulent shear production,NON-DIM
CMF,,0.0,Fluid mass diffusion coefficient,[M L\ :sup:`-1` t\ :sup:`-1`]
ITLEN,,0,Flag for the calculation of the maximum turbulent mixing length in the two-equation turbulence models (:envvar:`IFVIS` = 3 or 4),NONE
RMDTKE,,...,Turbulent dissipation diffusion coefficient,NON-DIM
RMF,,0.0,Fluid fraction diffusion coefficient multiplier,NON-DIM
RMRHO,,...,Density diffusion coefficient multiplier (inverse Schmidt number),NON-DIM
RMRHOE,,...,Energy diffusion coefficient multiplier (inverse Prandtl number),NON-DIM
RMTKE,,...,Turbulent energy diffusion coefficient multiplier,NON-DIM
TLEN,,...,Turbulent mixing length,[L] 
DUMx,,0.0,Extra dummy variables DUM1...DUM25,USER DEFINED
IDUMx,,0,Extra dummy integer variables IDUM1...IDUM25,NONE
IFFOR,,0,Flag indicating user-defined fluid forces,NONE
IUSRD,,0,Flag indicating user-defined namelist,NONE
INTDUM,n,0,Extra integer dummy array with a single index :envvar:`n`,NONE
FPDUM,n,0.0,Extra floating point dummy array with a single index :envvar:`n`,USER DEFINED
REMARK,,""" """,Dummy character string for adding comments to :envvar:`XPUT`,NONE
HFLEM1,,0.0,Emissivity for fluid #1 to type 1 void,NON-DIM
HFLEM2,,0.0,Emissivity for fluid #1 to type 2 void,NON-DIM
HFLEM3,,0.0,Emissivity for fluid #1 to type 3 void,NON-DIM
HFLV1,,0.0,Heat transfer coefficient for fluid #1 to type 1 void,[M T\ :sup:`-1` t\ :sup:`-3`]
HFLV2,,0.0,Heat transfer coefficient for fluid #1 to type 2 void,[M T\ :sup:`-1` t\ :sup:`-3`]
HFLV3,,0.0,Heat transfer coefficient for fluid #1 to type 3 void,[M T\ :sup:`-1` t\ :sup:`-3`]
IF_GAP,,0,Activation flag for wall gap formation model for solidified fluid #1.,NON-DIM
EFE1GAP,,0.0,Emissivity of solidified fluid #1 in the gap,NON-DIM
THCGAP,,...,"Thermal conductivity of the gas in the gap, e.g., air.",[M L t\ :sup:`-3` T\ :sup:`-1`\ ]
RGHFILE,,' ',"File name for roughness legend data file. Needed for **all** simulations containing any :ref:`surfaceroughnesscomptype` component type, \ :envvar:`IFOB(n)` = 9.", 
EPS,,0.01,Cutoff value for the evaluation of area and volume fractions,NON-DIM
FSI_MEMORY,,7.0,Amount of additional memory (in GB) that may be used to store data structures that can significantly speed up the FSI solver. ,GB (Giga Bytes)
IITMX,,1,Inner iteration count maximum for non-linear equation-of-state ,NONE
ITDTMX,,...,Maximum number of pressure iterations before the time step is reduced,NONE
ITMAXCG,,1000,Maximum number of core gas pressure solver iterations ,NONE
ITMAXFSI,,25,Maximum number of Fluid Structure Interaction (FSI) or Thermal Stress Evolution (TSE) solver iterations ,NONE
ITFLMX,,25,Maximum number of pressure iteration failures allowed ,NONE
IDTHT,,10,Maximum number of temperature iterations before the time step is reduced,NONE
IDTES,,15,Maximum number of elastic iterations before the time step is reduced,NONE
ITHTMX,,100,Maximum number of temperature iterations per cycle ,NONE
ITMAX,,...,Maximum number of pressure iterations per cycle ,NONE
ITMIN,,...,Minimum number of pressure iterations per cycle ,NONE
ITESMX,,30,Maximum number of implicit elastic stress iterations,NONE
ITSHMX,,100,Maximum number of volume iterations for the simple shrinkage model,NONE
ITVSMX,,...,Maximum number of implicit viscous stress iterations,NONE
MRSTRT,,15,Restart number for GMRES pressure solver. It is not allowed to be less than 15 or greater than 100.,NONE
MRSTRTFSI,,20,Restart number for GMRES Fluid structure interaction (FSI) and thermal stress evolution (TSE) solver. It is not allowed to be less than 6 or greater than 1000.,NONE
NCFLMX,,2,Maximum number of consecutive convection or pressure convergence failures allowed,NONE
NEGTMX,,250,Maximum number of times negative energy is reset during simulation,NONE
NSTSHR,,10,Maximum number of sub-time steps for simple shrinkage and microporosity models,NONE
VFCLEAN,,0.05,Volume fraction cleanup coefficient. Fully blocks cells where local (isolated) open volume fraction is less than :envvar:`VFCLEAN`.,NON-DIM
ILPR,,...,Print window minimum x cell index ,NONE
IRPR,,...,Print window maximum x cell index,NONE
JBKPR,,...,Print window maximum y cell index,NONE
JFPR,,...,Print window maximum y cell index,NONE
JFPR,,...,Print window maximum y cell index,NONE
KBPR,,...,Print window maximum z cell index,NONE
KTPR,,...,Print window maximum z cell index,NONE
XLPR,,...,Print window minimum x-coordinate,[L]
XRPR,,...,Print window minimum x-coordinate,[L]
YBKPR,,...,Print window minimum y-coordinate,[L]
YFPR,,...,Print window minimum y-coordinate,[L]
ZBPR,,...,Print window minimum z-coordinate,[L]
ZTPR,,...,Print window minimum z-coordinate,[L]
CAVRT,,5.0\ :math:`\times`\ |Delta|\ t,Characteristic time for nucleation of cavitation bubbles. Requires :envvar:`ICAV` = 1 and is used with the simplified ,[t]
PCAV,,...,"Cavitation pressure, used in Cavitation (:envvar:`ICAV` = 1) and Cavitation Potential (:envvar:`IPCAV` :math:`>` 0) models. Defaults to -1 atm. if gauge pressure is used, :envvar:`IPGAUGE` = 1, and to zero otherwise.",[M L\ :sup:`-1` t\ :sup:`-2`]
RHOCAV,,...,"Cavitation gas density, used with the empirical cavitation model, :envvar:`ICAV` = 1 and :envvar:`ICAVMODEL` = 1.",[M L\ :sup:`-3`]
SIGMA,,0.0,Surface tension coefficient; same as used in :ref:`SurfaceTensionProperties`.,[M/t\ :sup:`2`]
CAVPROD,,0.02,"Empirical cavitation production coefficient, used with the empirical cavitation model, :envvar:`ICAV` = 1 and :envvar:`ICAVMODEL` = 1.",NON-DIM
CAVDISS,,0.01,"Empirical cavitation dissipation coefficient, used with the empirical cavitation model, :envvar:`ICAV` = 1 and :envvar:`ICAVMODEL` = 1.",NON-DIM
RHOF,,-1.0,"Density of fluid #1. For temperature-dependent density, fluid #1 density at T=\ :envvar:`TSTAR`.",[M/L :sup:`3`]
RHOF2,,-1.0,"Density of fluid #2. For temperature-dependent density, fluid #2 density at T=\ :envvar:`TSTAR`.",[M/L :sup:`3`]
RHOFS,,RHOF,,Density of solidified fluid #1,[M/L :sup:`3`]
THEXF1,,0.0,Volumetric thermal expansion coefficient for fluid #1,[1/T]
THEXF2,,0.0,Volumetric thermal expansion coefficient for fluid #2,[1/T]
THEXS1,,0.0,Volumetric thermal expansion coefficient of solidified phase of fluid #1 (used in elastic stress model).,[1/T]
TSTAR,,0.0 degrees C or F,Reference temperature for temperature-dependent fluid properties,[T]
ADJSHR,,1.0,Multiplication coefficient for volume change during solidification. Values must not be negative. ,NON-DIM
DIELF1,,1.0,Dielectric constant (relative permittivity) for fluid #1,NON-DIM
DIELF2,,1.0,Dielectric constant (relative permittivity) for fluid #2,NON-DIM
PERMDER,,0.0,Fluid electric permittivity derivative with respect to temperature,[1/T]
FREQUEN,,0.0,Angular frequency of external electric field,[1/t]
ECOND1,,0.0,Fluid #1 electric conductivity,[Q\ :sup:`2` t M\ :sup:`-1` L\ :sup:`-3`]
IECOND1,,0,Flag for the definition of fluid #1 electric conductivity,NONE
FECOND1,,,The external filename for tabular fluid #1 electric conductivity as a function of temperature (used only if :envvar:`IECOND1C` :math:`\geq` 2),NONE
IECOND1C,,0,The column number for fluid #1 electric conductivity in the external file :envvar:`FECOND1`,NONE     
ECOND2,,0.0,Fluid #2 electric conductivity,[Q\ :sup:`2` t M\ :sup:`-1` L\ :sup:`-3`]
IECOND2,,0,Flag for the definition of fluid #2 electric conductivity,NONE
FECOND2,,,The external filename for tabular fluid #2 electric conductivity as a function of temperature (used only if :envvar:`IECOND2C` :math:`\geq` 2),NONE
IECOND2C,,0,The column number for fluid #2 electric conductivity in the external file :envvar:`FECOND2`,NONE      
CONDDER,,0.0,Fluid electric conductivity derivative with respect to temperature,[1/T]
EMOB1,,0.0,Fluid #1 electric charge mobility,[Q t M\ :sup:`-1`]
EMOB2,,0.0,Fluid #2 electric charge mobility,[Q t M\ :sup:`-1`]
DFCD,,0.5,Drag coefficient for a particle of the dispersed phase moving in the continuous phase.,NON-DIM
DFESP_COEFF,,1.0,Escape rate coefficient for gas escape velocity at free surface,NON-DIM      
DFDIAM,,0.0,Average particle diameter of the dispersed phase. Used when :envvar:`IDSIZE=` = 0.,[L]
DFDIAM_INI,,0.0,Initial particle diameter of the dispersed phase. Used when :envvar:`IDSIZE=` = 1.,[L]     
F1MX,,1.0,Maximum volume fraction of phase #1.,NON-DIM
F1MN,,...,Minimum volume fraction of phase #1.,NON-DIM
FDMAX,,...,"Phase inversion volume fraction: volume fraction of the second phase at inversion point. At concentrations below :envvar:`FDMAX`, the second phase is dispersed; above :envvar:`FDMAX` it is continuous.",NON-DIM
RHOF,,-1.0,Density of the first phase.,[M/L\ :sup:`3`]
RHOFD,,RHOF,,"Density of the second phase in one-fluid problems, :envvar:`NMAT` = 1.",[M/L\ :sup:`3`]
MUD1,,MU1,,"Dynamic viscosity of the first phase in one-fluid problems, :envvar:`NMAT` = 1.",[M L\ :sup:`-1` t\ :sup:`-1`]
MUD2,,MU1,,"Dynamic viscosity of the second phase in one-fluid problems, :envvar:`NMAT` = 1.",[M L\ :sup:`-1` t\ :sup:`-1`]
RZMLT,,1.0,Constant multiplier for dynamically-computed Richardson-Zaki coefficient,NON-DIM
SIGMA_DF,,...,Surface tension coefficient at the interface between two phases,[M t\ :sup:`-2`]
EMOD1,,0.0,Shear elastic modulus for fluid #1,[M L\ :sup:`-1` t\ :sup:`-2`]
EMOD2,,0.0,Shear elastic modulus for fluid #2,[M L\ :sup:`-1` t\ :sup:`-2`]
EMODT1,,0.0,Fluid #1 shear elastic modulus temperature sensitivity,[M L\ :sup:`-1` t\ :sup:`-2` T\ :sup:`-1`]
EMODT2,,0.0,Fluid #2 shear elastic modulus temperature sensitivity,[M L\ :sup:`-1` t\ :sup:`-2` T\ :sup:`-1`]
BLKMODTS,,0.0,Bulk modulus of solidified phase of fluid #1,[M L\ :sup:`-1` t\ :sup:`-2`]
ELASTMODTS,,0.0,Elastic (Young's) modulus of solidified phase of fluid #1,[M L\ :sup:`-1` t\ :sup:`-2`]
POISSONRTS,,-2.0,Poisson ratio of solidified phase of fluid #1,NON-DIM
MOBLTY1,,0.0 (no mobility),Mobility factor for fluid #1. Positive values only. Is needed to define a Giesekus fluid.,NON-DIM
MOBLTY2,,0.0 (no mobility),Mobility factor for fluid #2. Positive values only. Is needed to define a Giesekus fluid.,NON-DIM
MOBLTYT1,,0.0,Fluid #1 mobility factor temperature sensitivity,NON-DIM
MOBLTYT2,,0.0,Fluid #2 mobility factor temperature sensitivity,NON-DIM
RELAX1,,-1.0,"Relaxation time of fluid #1 for Oldroyd-B viscoelasticity model. Any value less than or equal to 0.0 means that the relaxation time is infinite, that is, no relaxation.",[t]
RELAX2,,-1.0,"Relaxation time of fluid #2 for Oldroyd-B viscoelasticity model. Any value less than or equal to 0.0 means that the relaxation time is infinite, that is, no relaxation.",[t]
RELAXT1,,0.0,Fluid #1 relaxation time temperature sensitivity for Oldroyd-B viscoelasticity model,[t T\ :sup:`-1`]
RELAXT2,,0.0,Fluid #2 relaxation time temperature sensitivity for Oldroyd-B viscoelasticity model,[t T\ :sup:`-1`]
SHRMODTS,,0.0,Shear modulus of solidified phase of fluid #1,[M L\ :sup:`-1` t\ :sup:`-2`]
THEXS1,,0.0,Volumetric thermal expansion coefficient of solidified phase of fluid #1,1/T
YIELD1,,-1.0,"Yield stress limit for fluid #1. A negative value means that the yield stress is infinite, that is, no yielding occurs.",[M L\ :sup:`-1` t\ :sup:`-2`]
YIELD2,,-1.0,"Yield stress limit for fluid #2. A negative value means that the yield stress is infinite, that is, no yielding occurs.",[M L\ :sup:`-1` t\ :sup:`-2`]
YIELDT1,,0.0,Fluid #1 yield stress temperature sensitivity,[M L\ :sup:`-1` t\ :sup:`-2` T\ :sup:`-1`]
YIELDT2,,0.0,Fluid #2 yield stress temperature sensitivity,[M L\ :sup:`-1` t\ :sup:`-2` T\ :sup:`-1`]
YLDSTRTS,,0.0,Yield stress limit of solidified fluid 1,[M L\ :sup:`-1` t\ :sup:`-2`]
FSTSE,,1.0,Solid fraction for Thermal Stress Evolution (TSE) elements activation. 0 :math:`<` FSTSE :math:`<=` 1.,NON-DIM
FLUID1,,"""  """,Character string allowing user to identify fluid #1 (up to 50 characters),NONE
FLUID2,,"""  """,Character string allowing user to identify fluid #2 (up to 50 characters),NONE
UNITS,,...,Character string used to identify units (up to 10 characters),NONE
MUNITS,,...,"Character string used to identify mass units when ""Custom"" option is chosen (up to 10 characters)",NONE
LUNITS,,...,"Character string used to identify length units when ""Custom"" option is chosen (up to 10 characters)",NONE
TIMUNITS,,...,"Character string used to identify time units when ""Custom"" option is chosen (up to 10 characters)",NONE
CUNITS,,...,"Character string used to identify charge units when ""Custom"" option is chosen (up to 10 characters)",NONE
TUNITS,,...,Character string used to identify temperature units (up to 10 characters),NONE
IPGAUGE,,...,"Pressure type, absolute or gauge, for all pressure quantities used in the simulation.",NONE
P_REFERENCE,,...,"Absolute reference pressure. Defaults to 1 atm. in SI, CGS, engineering or custom units appropriately, based on :envvar:`UNITS` specified.",[M L\ :sup:`-1` t\ :sup:`-2`]
T_REFERENCE,,0.0 C,Reference temperature.,[M L\ :sup:`-1` t\ :sup:`-2`]     
ANGREP,,:math:`\text{34}^{\circ}`,Angle of repose,DEGREES
ANGMOV,,ANGREP` + :math:`\text{2}^{\circ},,Friction angle,DEGREES
CVELGRN,,1.0,"The absolute value of :envvar:`CVELGRN` is used as multiplier for threshold packing velocity. A larger value results in earlier packing. When :envvar:`CVELGRN` is negative, then full jamming is not produced - the granular mixture continues to move even at packing density.",NON-DIM
DIAGRN,,0.0,Average grain diameter,[L]
DRGGRN,,1.0,Multiplier in packing drag,NON-DIM
GASDEN,,0.0,"Density of the fluid surrounding granular material (gas for :envvar:`IFGRN` = 1, liquid for :envvar:`IFGRN` = 2)",[M/L\ :sup:`3`]
GASVIS,,0.0,"Dynamic viscosity of the fluid surrounding granular material (gas for :envvar:`IFGRN` = 1, liquid for :envvar:`IFGRN` = 2)",[M L\ :sup:`-1` t\ :sup:`-1`]
GRNREST,,0.7,Grain restitution coefficient,NON-DIM     
F1MN,,0.0,Minimum volume fraction of granular material in the fluid,NON-DIM
FGRNMX,,0.63,Close packing volume fraction,NON-DIM
FGRNJAM,,0.96825 :math:`\cdot` :envvar:`FGRNMX`,Mechanical jamming volume fraction,NON-DIM
FGRNLPK,,0.873 :math:`\cdot` :envvar:`FGRNMX`,Loose random packing volume fraction,NON-DIM
RHOGRN,,0.0,Grain density,[M/L\ :sup:`3`]
CLHVMST,,...,Latent heat of vaporization,[L\ :sup:`2`/t\ :sup:`2`]
CVMST,,...,Moisture specific heat,[L\ :sup:`2` t\ :sup:`-2` T\ :sup:`-1`]
RHOMST,,...,Moisture fluid density,[M/L\ :sup:`3`]
TVMST,,...,Evaporation temperature,[T]
CLHV1,,...,Latent heat of vaporization/condensation constant (\ :envvar:`ICLHV1` = 0) *or* value at temperature :envvar:`THV1` (when :envvar:`ICLHV1` = 2),[L\ :sup:`2`/t\ :sup:`2`]
THV1,,...,Temperature on heat of vaporization -- temperature curve corresponding to :envvar:`CLHV1`,[T]
CLHV2,,...,Latent heat of vaporization/condensation value at temperature :envvar:`THV2`,[L\ :sup:`2`/t\ :sup:`2`]
THV2,,...,Temperature on heat of vaporization -- temperature curve corresponding to :envvar:`CLHV2`,[T]
TCRIT,,647.096,Critical temperature of fluid 1,[T]
PCRIT,,...,Critical pressure of fluid 1,[M L\ :sup:`-1` t\ :sup:`-2`]
ACNTRC,,0.3439,Acentric factor of fluid 1.,NON-DIM
RSIZE,,0.0,Dimensionless accommodation coefficient for the liquid/vapor evaporative phase change rate.,NON-DIM
RSIZE_COND,,RSIZE,,Dimensionless accommodation coefficient for the liquid/vapor condensation phase change rate.,NON-DIM     
TV1,,...,Temperature value on the saturation curve that corresponds to pressure :envvar:`PV1`. The saturation curve defines a relationship between saturation pressure and temperature. ,[T]
CVVAP,,...,Vapor specific heat at constant volume of vaporized fluid 1 (\ :envvar:`IPHCHG` = 4) or fluid 2 (\ :envvar:`IPHCHG` = 5).,[L\ :sup:`2` t\ :sup:`-2` T\ :sup:`-1`]
GAMMA,,1.4,"Exponent in void region equation of state, ``P*V^GAMMA = constant``. Zero or negative value indicates constant pressure. :envvar:`GAMMA` = ratio of specific heats of 'void' gas C\ :sub:`p`/C\ :sub:`v`, assumed constant.",NON-DIM
PV0,,0.0,Partial pressure of vapor in void regions.,[M L\ :sup:`-1` t\ :sup:`-2`]
PV1,,1.013 :math:`\times` 10\ :sup:`6`,Absolute pressure value on the saturation curve that corresponds to temperature :envvar:`TV1`. The saturation curve defines a relationship between saturation pressure and temperature.,[M L\ :sup:`-1` t\ :sup:`-2`]
TVEXP,,0.0,Exponent in the relationship between saturation pressure and temperature. For perfect gas :envvar:`TVEXP` is equal to (\ :envvar:`GAMMA` -1.0)*\ :envvar:`CVVAP`/\ :envvar:`CLHV1`. The saturation curve is defined by the Clapeyron equation:,NON-DIM
TV0,,0.0,Superheat temperature. Liquid in the bulk is allowed to heat to :envvar:`TV0` degrees before it starts evaporating (or boiling).,[T]
TC0,,0.0,Supercooling temperature. Gas in the bulk is allowed to cool to :envvar:`TC0` degrees before it starts condensing.,[T]
CVNC,,0.0,Specific heat for the non-condensable gas component.,[L\ :sup:`2` t\ :sup:`-2` T\ :sup:`-1`]
RFNC,,0.0,Specific gas constant for the non-condensable gas component.,[L\ :sup:`2` t\ :sup:`-2` T\ :sup:`-1`]
CEUT,,...,Eutectic concentration,[M/L\ :sup:`3`]
CEXF1,,0.0,Solute expansion coefficient,NON-DIM
CSTAR,,0.0,Reference solute concentration for concentration-dependent density. :envvar:`CSTAR` also corresponds to :envvar:`TS1` and :envvar:`TL1` on the phase diagram.,[M/L\ :sup:`3`]
DRATIO,,0.0,Ratio of solute diffusion coefficients in solid and liquid phases,NON-DIM
PCOEF,,...,Partition coefficient,NON-DIM
TEUT,,...,Eutectic temperature ,[T]
TL1,,0.0,Liquidus temperature of fluid #1,[T]
TMELT,,...,Melting temperature of pure solvent,[T]
TS1,,0.0,Solidus temperature of fluid #1,[T]
IF_CALC_TS1,,0,Flag for setting solidus temperature :envvar:`TS1` for the iron solidification model.,NONE
CIRON,,0.0,"Initial carbon content, % weight",NON-DIM
SIIRON,,0.0,"Initial silicon content, % weight",NON-DIM
FSEUTE,,0.95,Solid fraction at the end of eutectic reaction,NON-DIM
RHOCARBIDE,,...,Density of the carbide formed during eutectic reaction,[M/L\ :sup:`3`]
RHOGAMMA,,...,Density of the |gamma|-iron phase (austenite),[M/L\ :sup:`3`]
RHOGRAPHITE,,...,Density of the graphite formed during the eutectic reaction,[M/L\ :sup:`3`]
RHOENDIRON,,...,Density of the solid phase formed after eutectic reaction,[M/L\ :sup:`3`]
VEUTPHI,,1.0,Chilling susceptibility coefficient,NON-DIM
CLHT,n,0.0,Specific energy of fluid #1 between temperatures :envvar:`CLTP(n-1)` and :envvar:`CLTP(n)`,[L\ :sup:`2` t\ :sup:`-2`]
CLTP,n,0.0,"Temperature point :envvar:`n` for latent heat release specification. These temperatures may be equal for isothermal phase changes. The first and last entries are interpreted as the solidus and liquidus temperatures, respectively, overwriting :envvar:`TS1` and :envvar:`TL1`.",[T]
CLHT1,,0.0,Latent heat of fusion in fluid #1,[L\ :sup:`2` t\ :sup:`-2`]
CVS1,,CV1,,Specific heat of solidified fluid #1,[L\ :sup:`2` t\ :sup:`-2` T\ :sup:`-1`]
FSCO,,0.15,Fraction of solid at coherency point. ,NON-DIM
FSCR,,0.67,Critical solid fraction above which metal has no fluidity,NON-DIM
FSTSE,,1.0,Solid fraction for Thermal Stress Evolution (TSE) elements activation. 0 :math:`<` FSTSE :math:`<=` 1.,NON-DIM
PGASMP,,...,"Critical pressure below which pores can form during solidification. Used in the micro-porosity model, :envvar:`IMUPOR` = 1.",[M L\ :sup:`-1` t\ :sup:`-2`]     
BLKMOD_LIQ,,0.0,"Bulk modulus of liquid phase. Used in the micro-porosity model, :envvar:`IMUPOR` = 1.",[M L\ :sup:`-1` t\ :sup:`-2`] 
BLKMOD_FSCR,,0.0,"Bulk modulus of solidifing fluid at critical solid fraction :envvar:`FSCR`. Used in the micro-porosity model, :envvar:`IMUPOR` = 1.",[M L\ :sup:`-1` t\ :sup:`-2`] 
RHOFS,,RHOF,,Density of solidified fluid #1,[M/L\ :sup:`3`]
THCS1,,THC1,,Thermal conductivity of solidified fluid #1,[M L t\ :sup:`-3` T\ :sup:`-1`]
TL1,,0.0,Liquidus temperature of fluid #1,[T]
TNIYAM,,...,"Temperature at which solidification variables are calculated (i.e., solidification time, temperature gradient, etc.).",[T]
TS1,,0.0,Solidus temperature of fluid #1,[T]
TSDRG,,1.0,Coefficient of solidification drag,[1/t]
TSTAR,,0.0 degrees C or R,Reference temperature for temperature dependent fluid properties,[T]
RCSQL,,0.0,Reciprocal (|rho| •c\ :sup:`2`) of fluid #1,[L t\ :sup:`2`/M]
RCSQV,,0.0,Reciprocal (|rho| •c\ :sup:`2`) of fluid #2,[L t\ :sup:`2`/M]
RF2,,0.0,Specific gas constant of fluid #2 (:envvar:`RF2` = (:envvar:`GAMMA`-1)•:envvar:`CV2` for a gamma-law gas),[L\ :sup:`2` t\ :sup:`-2` T\ :sup:`-1`]
CV2,,0.0,Specific heat to fluid #2,[L\ :sup:`2` t\ :sup:`-2` T\ :sup:`-1`]
CANGLE,,+90°,Static contact angle (in degrees) for fluid #1 wall adhesion,DEGREES
CSIGMA,,0.0,Surface tension coefficient temperature sensitivity,[M t\ :sup:`-2` T\ :sup:`-1`]
SIGMA,,0.0,Surface tension coefficient.,[M/t\ :sup:`2`]
TSTAR,,0.0 degrees C or R,Reference temperature for temperature-dependent fluid properties,[T]
CV1,,0.0,Specific heat of fluid #1,[L\ :sup:`2` t\ :sup:`-2` T\ :sup:`-1`]
CV2,,0.0,Specific heat to fluid #2,[L\ :sup:`2` t\ :sup:`-2` T\ :sup:`-1`]
CVS1,,CV1,,Specific heat of solidified fluid #1,[L\ :sup:`2` t\ :sup:`-2` T\ :sup:`-1`]
FLHTC,,-1.0,Heat-transfer coefficient between fluid #1 and #2,[M T\ :sup:`-1` t\ :sup:`-3`]     
POFL1,,0.0,Uniform power source per unit mass for fluid #1,[L\ :sup:`2`/t\ :sup:`2`]
POFL2,,0.0,Uniform power source per unit mass for fluid #2,[L\ :sup:`2`/t\ :sup:`2`]
THC1,,-1.0,Thermal conductivity of fluid #1,[M L t\ :sup:`-3` T\ :sup:`-1`]
THC2,,-1.0,Thermal conductivity of fluid #2,[M L t\ :sup:`-3` T\ :sup:`-1`]
THCS1,,THC1,,Thermal conductivity of solidified fluid #1,[M L t\ :sup:`-3` T\ :sup:`-1`]
MU1,,MUI,,Dynamic viscosity of fluid #1,[M L\ :sup:`-1` t\ :sup:`-1`]
MU2,,MUI,,Dynamic viscosity of fluid #2,[M L\ :sup:`-1` t\ :sup:`-1`]
MUC00,,0.0,Coefficient in strain rate-dependent viscosity model,NON-DIM
MUC0,,1.0,Coefficient in strain rate-dependent viscosity model,NON-DIM
