NAME,DEFAULT_VALUE,DESCRIPTION,UNITS,SET_VALUE
CMSCR,0.0,Molecular diffusion coefficient of the suspended sediment,g cm^-1 s^-1,0
RMSCR,0.0,Turbulent diffusion coefficient multiplier for the suspended sediment,NON-DIM,0.0
IFILL1,0,Flag to activate the recording of the first and last time a cell fills with fluid #1,NONE,0
IRESDT,0,Flag used to compute fluid residence time (the amount of time fluid is present in the flow domain),NONE,0
ICONTACT,0,Flag used to activate fluid/wall contact time output,NONE     ,0
IPATH,0,Flag used to compute distance traveled by fluid from its initial location or from the inlet (mesh boundary or mass source),NONE,0
TV2M,...,Reference temperature for ideal gas equation of state.,K,683
CHM,BLOCK,Reaction Kinetics parameters,BLOCK,BLOCK
BCDATA,BLOCK,Boundary condition parameters,BLOCK,BLOCK
ibct(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2
rwall(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
hwall1(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwall2(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwobs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
iwavebc(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
hnwave(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gam(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3.3
"fbct(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
"cncbct(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.995
"rsatbct(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.01
"flhtbct(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1e+08
"tbct(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
c0spngbc(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
c1spngbc(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
uspngbc(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vspngbc(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wspngbc(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ibct(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2
rwall(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
hwall1(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwall2(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwobs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
iwavebc(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
hnwave(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gam(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3.3
"fbct(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
"cncbct(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.995
"rsatbct(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.01
"flhtbct(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1e+08
"tbct(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
c0spngbc(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
c1spngbc(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
uspngbc(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vspngbc(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wspngbc(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ibct(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2
rwall(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
hwall1(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwall2(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwobs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
iwavebc(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
hnwave(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gam(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3.3
"fbct(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
"cncbct(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.995
"rsatbct(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.01
"flhtbct(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1e+08
"tbct(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
c0spngbc(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
c1spngbc(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
uspngbc(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vspngbc(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wspngbc(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ibct(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2
rwall(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
hwall1(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwall2(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwobs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
iwavebc(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
hnwave(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gam(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3.3
"fbct(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
"cncbct(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.995
"rsatbct(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.01
"flhtbct(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1e+08
"tbct(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
c0spngbc(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
c1spngbc(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
uspngbc(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vspngbc(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wspngbc(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ibct(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2
rwall(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
hwall1(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwall2(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwobs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
iwavebc(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
hnwave(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gam(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3.3
"fbct(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
"cncbct(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.995
"rsatbct(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.01
"flhtbct(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1e+08
"tbct(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
c0spngbc(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
c1spngbc(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
uspngbc(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vspngbc(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wspngbc(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ibct(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2
rwall(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
hwall1(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwall2(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwobs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
iwavebc(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
hnwave(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gam(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3.3
"fbct(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
"cncbct(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.995
"rsatbct(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.01
"flhtbct(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1e+08
"tbct(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
c0spngbc(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
c1spngbc(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
uspngbc(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vspngbc(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wspngbc(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
timbct(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
MESH,BLOCK,Mesh data for computational grid,BLOCK,BLOCK
MESHNAME,mesh block no. ##,Mesh block name (up to 256 characters),NONE,'Mesh block 1','Mesh block 2'
SIZE,0.0,"Cell size to be approximated for a uniform mesh. Used when :envvar:`IF_SIZE` = 1. :envvar:`SIZE` is used for directions for which a domain has been specified by :envvar:`PX`, :envvar:`PY`, and/or :envvar:`PZ`, but not the number of cells (:envvar:`NXCELT`, :envvar:`NYCELT`, or :envvar:`NZCELT`).",cm,0.004
px(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-0.12
px(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.12
py(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-0.076
py(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.076
pz(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-0.056
pz(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.18
BCDATA,BLOCK,Boundary condition parameters,BLOCK,BLOCK
ibct(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2
rwall(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
hwall1(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwall2(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwobs(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
iwavebc(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
hnwave(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gam(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3.3
"fbct(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
"cncbct(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.995
"rsatbct(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.01
"flhtbct(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1e+08
"tbct(1, 1)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
c0spngbc(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
c1spngbc(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
uspngbc(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vspngbc(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wspngbc(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ibct(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2
rwall(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
hwall1(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwall2(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwobs(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
iwavebc(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
hnwave(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gam(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3.3
"fbct(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
"cncbct(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.995
"rsatbct(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.01
"flhtbct(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1e+08
"tbct(1, 2)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
c0spngbc(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
c1spngbc(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
uspngbc(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vspngbc(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wspngbc(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ibct(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2
rwall(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
hwall1(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwall2(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwobs(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
iwavebc(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
hnwave(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gam(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3.3
"fbct(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
"cncbct(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.995
"rsatbct(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.01
"flhtbct(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1e+08
"tbct(1, 3)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
c0spngbc(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
c1spngbc(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
uspngbc(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vspngbc(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wspngbc(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ibct(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2
rwall(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
hwall1(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwall2(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwobs(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
iwavebc(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
hnwave(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gam(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3.3
"fbct(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
"cncbct(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.995
"rsatbct(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.01
"flhtbct(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1e+08
"tbct(1, 4)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
c0spngbc(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
c1spngbc(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
uspngbc(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vspngbc(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wspngbc(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ibct(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,5
rwall(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
hwall1(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwall2(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwobs(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
iwavebc(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
hnwave(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gam(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3.3
"pbct(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.001e+05
"pbct(2, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.1125e+05
"pbct(3, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.1125e+05
"fbct(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
"cncbct(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.995
"rsatbct(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.01
"flhtbct(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1e+08
"tbct(1, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,760
"tbct(4, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,760
"tbct(5, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
"tbct(6, 5)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
c0spngbc(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
c1spngbc(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
uspngbc(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vspngbc(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wspngbc(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ibct(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,2
rwall(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
hwall1(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwall2(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
hwobs(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1.0
iwavebc(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
hnwave(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
gam(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3.3
"fbct(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
"cncbct(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.995
"rsatbct(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.01
"flhtbct(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1e+08
"tbct(1, 6)",MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,25
c0spngbc(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
c1spngbc(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
uspngbc(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
vspngbc(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
wspngbc(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
timbct(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
timbct(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,10
timbct(3),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,12
timbct(4),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,150
timbct(5),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,151
timbct(6),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,200
MESH,BLOCK,Mesh data for computational grid,BLOCK,BLOCK
MESHNAME,mesh block no. ##,Mesh block name (up to 256 characters),NONE,'Mesh block 1','Mesh block 2'
SIZE,0.0,"Cell size to be approximated for a uniform mesh. Used when :envvar:`IF_SIZE` = 1. :envvar:`SIZE` is used for directions for which a domain has been specified by :envvar:`PX`, :envvar:`PY`, and/or :envvar:`PZ`, but not the number of cells (:envvar:`NXCELT`, :envvar:`NYCELT`, or :envvar:`NZCELT`).",cm,0.002
MESH_TYPE,0,Mesh block shape type,NONE,1
OVERLAP,...,The extent of the overlap (in terms of length) of a conforming block into,cm,0.012
px(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-0.12
px(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.12
py(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-0.076
py(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.076
pz(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-0.056
pz(2),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.18
OBS,BLOCK,Geometry data,BLOCK,BLOCK
NOBS,0,Number of components,NONE,7,1
velrad(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
ifob(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-1
obsid(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Filter 1'
material(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'20ppi_ceramic_foam'
iob(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1
subcmpid(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'Filter'
igen(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,3
fstl(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,'../Filling/Filter.stl'
roughsub(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
rcmansub(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
magn(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.001
magnx(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magny(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
magnz(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,1.0
cc(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
cx2(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cx(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cxy(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cxz(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cy2(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cy(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cyz(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cz2(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cz(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0
cdum(1),MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0
