NAME,SUBSCRIPT,DEFAULT_VALUE,DESCRIPTION,UNITS,SET_VALUE,REMARK
MAXPSIT,,1000,Maximum iterations for zeta-potential solver,NONE     ,1000,
EPSELE,,1.0E-06,Convergence criterion for electric (external) potential ,NON-DIM,0.000001,
EPSPSI,,1.0E-06,Convergence criterion for Zeta potential,NON-DIM,0.000001,
CONCEN,,0.0,Average ion concentration in bulk flow.,mol cm^-3,0,
MUSC_SLDG,,0.0,Dynamic viscosity of sludge,g cm^-1 s^-1,-0.1,
CMSC_SLDG,,0.0,Molecular diffusion coefficient of sludge,g cm^-1 s^-1,0,
RMSCS_SLDG,,0.0,Turbulent diffusion coefficient multiplier for sludge,NONE,0.0,
CMDFT,,0.0,Molecular diffusion coefficient of free surface defects,g cm^-1 s^-1,0,
CMDFT_LF,,0.0,Molecular diffusion coefficient of foam residue defects,g cm^-1 s^-1,0,
RMDFT,,0.0,Turbulent diffusion coefficient multiplier for free surface defects,NON-DIM,0.0,
RMDFT_LF,,0.0,Turbulent diffusion coefficient multiplier for foam residue defects,NON-DIM,0.0,
CMSEG,,0.0,Molecular diffusion coefficient of the solute mass concentration,g cm^-1 s^-1,0,
RMSEG,,0.0,Turbulent diffusion coefficient multiplier for the solute mass concentration,NON-DIM,0.0,
RMSC,,...,Turbulent diffusion coefficient multiplier,NON-DIM,0.0,
SSRZMLT,,1.0,Richardson-Zaki coefficient multiplier.,NON-DIM,1.0,
CMSCR,,0.0,Molecular diffusion coefficient of the suspended sediment,g cm^-1 s^-1,0,
RMSCR,,0.0,Turbulent diffusion coefficient multiplier for the suspended sediment,NON-DIM,0.0,
IFILL1,,0,Flag to activate the recording of the first and last time a cell fills with fluid #1,NONE,0,
IRESDT,,0,Flag used to compute fluid residence time (the amount of time fluid is present in the flow domain),NONE,0,
ICONTACT,,0,Flag used to activate fluid/wall contact time output,NONE     ,0,
IPATH,,0,Flag used to compute distance traveled by fluid from its initial location or from the inlet (mesh boundary or mass source),NONE,0,
TV2M,,...,Reference temperature for ideal gas equation of state.,K,683,
CHM,BLOCK,BLOCK,Reaction Kinetics parameters,BLOCK,BLOCK,BLOCK
BCDATA,BLOCK,BLOCK,Boundary condition parameters,BLOCK,BLOCK,BLOCK
IBCT,1,...,Boundary condition type at mesh block boundaries,NONE,2,
RWALL,1,1.0,"Surface area multiplier to account for roughness of mesh boundary :envvar:`n`. :envvar:`RWALL(n)` multiplies the cell-face area to give the effective heat transfer area for each cell, both fluid and solid. No heat transfer at mesh boundary :envvar:`n` if :envvar:`RWALL(n)` = 0. ",NON-DIM,1.0,
HWALL1,1,-1.0,Fixed heat transfer coefficient to fluid #1 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWALL2,1,-1.0,Fixed heat transfer coefficient to fluid #2 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWOBS,1,-1.0,Heat transfer coefficient between obstacles and wall mesh boundary,g K^-1 s^-3,-1.0,
IWAVEBC,1,0,Total number of linear wave components entering computational domain from mesh boundary :envvar:`n`.,NONE,0,
HNWAVE,1,0.0,Wave elevation of non-linear wave at mesh boundary :envvar:`n`,cm,0,
GAM,1,3.3,Peak enhancement factor in JONSWAP spectrum. ,NON-DIM,3.3,
FBCT,"1, 1",1.0,Fluid fraction at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used when :envvar:`IHPBCT(n)` = 0.,NON-DIM,1.0,
CNCBCT,"1, 1",0.0,Volume fraction of the non-condensable gas component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.995,
RSATBCT,"1, 1",0.0,Relative saturation of the vapor component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.01,
FLHTBCT,"1, 1",-1.e10,Free-surface elevation at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,cm,-1e+08,
TBCT,"1, 1",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],25,
C0SPNGBC,1,0.0,damping coefficient at the starting side of the wave absorbing layer,1/s,0,
C1SPNGBC,1,1.0,damping coefficient at the end side of the wave absorbing layer,1/s,1,
USPNGBC,1,0.0,x-component of background stream velocity,cm/s,0,
VSPNGBC,1,0.0,y-component of background stream velocity,cm/s,0,
WSPNGBC,1,0.0,z-component of background stream velocity,cm/s,0,
IBCT,2,...,Boundary condition type at mesh block boundaries,NONE,2,
RWALL,2,1.0,"Surface area multiplier to account for roughness of mesh boundary :envvar:`n`. :envvar:`RWALL(n)` multiplies the cell-face area to give the effective heat transfer area for each cell, both fluid and solid. No heat transfer at mesh boundary :envvar:`n` if :envvar:`RWALL(n)` = 0. ",NON-DIM,1.0,
HWALL1,2,-1.0,Fixed heat transfer coefficient to fluid #1 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWALL2,2,-1.0,Fixed heat transfer coefficient to fluid #2 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWOBS,2,-1.0,Heat transfer coefficient between obstacles and wall mesh boundary,g K^-1 s^-3,-1.0,
IWAVEBC,2,0,Total number of linear wave components entering computational domain from mesh boundary :envvar:`n`.,NONE,0,
HNWAVE,2,0.0,Wave elevation of non-linear wave at mesh boundary :envvar:`n`,cm,0,
GAM,2,3.3,Peak enhancement factor in JONSWAP spectrum. ,NON-DIM,3.3,
FBCT,"1, 2",1.0,Fluid fraction at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used when :envvar:`IHPBCT(n)` = 0.,NON-DIM,1.0,
CNCBCT,"1, 2",0.0,Volume fraction of the non-condensable gas component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.995,
RSATBCT,"1, 2",0.0,Relative saturation of the vapor component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.01,
FLHTBCT,"1, 2",-1.e10,Free-surface elevation at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,cm,-1e+08,
TBCT,"1, 2",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],25,
C0SPNGBC,2,0.0,damping coefficient at the starting side of the wave absorbing layer,1/s,0,
C1SPNGBC,2,1.0,damping coefficient at the end side of the wave absorbing layer,1/s,1,
USPNGBC,2,0.0,x-component of background stream velocity,cm/s,0,
VSPNGBC,2,0.0,y-component of background stream velocity,cm/s,0,
WSPNGBC,2,0.0,z-component of background stream velocity,cm/s,0,
IBCT,3,...,Boundary condition type at mesh block boundaries,NONE,2,
RWALL,3,1.0,"Surface area multiplier to account for roughness of mesh boundary :envvar:`n`. :envvar:`RWALL(n)` multiplies the cell-face area to give the effective heat transfer area for each cell, both fluid and solid. No heat transfer at mesh boundary :envvar:`n` if :envvar:`RWALL(n)` = 0. ",NON-DIM,1.0,
HWALL1,3,-1.0,Fixed heat transfer coefficient to fluid #1 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWALL2,3,-1.0,Fixed heat transfer coefficient to fluid #2 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWOBS,3,-1.0,Heat transfer coefficient between obstacles and wall mesh boundary,g K^-1 s^-3,-1.0,
IWAVEBC,3,0,Total number of linear wave components entering computational domain from mesh boundary :envvar:`n`.,NONE,0,
HNWAVE,3,0.0,Wave elevation of non-linear wave at mesh boundary :envvar:`n`,cm,0,
GAM,3,3.3,Peak enhancement factor in JONSWAP spectrum. ,NON-DIM,3.3,
FBCT,"1, 3",1.0,Fluid fraction at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used when :envvar:`IHPBCT(n)` = 0.,NON-DIM,1.0,
CNCBCT,"1, 3",0.0,Volume fraction of the non-condensable gas component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.995,
RSATBCT,"1, 3",0.0,Relative saturation of the vapor component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.01,
FLHTBCT,"1, 3",-1.e10,Free-surface elevation at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,cm,-1e+08,
TBCT,"1, 3",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],25,
C0SPNGBC,3,0.0,damping coefficient at the starting side of the wave absorbing layer,1/s,0,
C1SPNGBC,3,1.0,damping coefficient at the end side of the wave absorbing layer,1/s,1,
USPNGBC,3,0.0,x-component of background stream velocity,cm/s,0,
VSPNGBC,3,0.0,y-component of background stream velocity,cm/s,0,
WSPNGBC,3,0.0,z-component of background stream velocity,cm/s,0,
IBCT,4,...,Boundary condition type at mesh block boundaries,NONE,2,
RWALL,4,1.0,"Surface area multiplier to account for roughness of mesh boundary :envvar:`n`. :envvar:`RWALL(n)` multiplies the cell-face area to give the effective heat transfer area for each cell, both fluid and solid. No heat transfer at mesh boundary :envvar:`n` if :envvar:`RWALL(n)` = 0. ",NON-DIM,1.0,
HWALL1,4,-1.0,Fixed heat transfer coefficient to fluid #1 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWALL2,4,-1.0,Fixed heat transfer coefficient to fluid #2 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWOBS,4,-1.0,Heat transfer coefficient between obstacles and wall mesh boundary,g K^-1 s^-3,-1.0,
IWAVEBC,4,0,Total number of linear wave components entering computational domain from mesh boundary :envvar:`n`.,NONE,0,
HNWAVE,4,0.0,Wave elevation of non-linear wave at mesh boundary :envvar:`n`,cm,0,
GAM,4,3.3,Peak enhancement factor in JONSWAP spectrum. ,NON-DIM,3.3,
FBCT,"1, 4",1.0,Fluid fraction at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used when :envvar:`IHPBCT(n)` = 0.,NON-DIM,1.0,
CNCBCT,"1, 4",0.0,Volume fraction of the non-condensable gas component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.995,
RSATBCT,"1, 4",0.0,Relative saturation of the vapor component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.01,
FLHTBCT,"1, 4",-1.e10,Free-surface elevation at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,cm,-1e+08,
TBCT,"1, 4",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],25,
C0SPNGBC,4,0.0,damping coefficient at the starting side of the wave absorbing layer,1/s,0,
C1SPNGBC,4,1.0,damping coefficient at the end side of the wave absorbing layer,1/s,1,
USPNGBC,4,0.0,x-component of background stream velocity,cm/s,0,
VSPNGBC,4,0.0,y-component of background stream velocity,cm/s,0,
WSPNGBC,4,0.0,z-component of background stream velocity,cm/s,0,
IBCT,5,...,Boundary condition type at mesh block boundaries,NONE,2,
RWALL,5,1.0,"Surface area multiplier to account for roughness of mesh boundary :envvar:`n`. :envvar:`RWALL(n)` multiplies the cell-face area to give the effective heat transfer area for each cell, both fluid and solid. No heat transfer at mesh boundary :envvar:`n` if :envvar:`RWALL(n)` = 0. ",NON-DIM,1.0,
HWALL1,5,-1.0,Fixed heat transfer coefficient to fluid #1 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWALL2,5,-1.0,Fixed heat transfer coefficient to fluid #2 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWOBS,5,-1.0,Heat transfer coefficient between obstacles and wall mesh boundary,g K^-1 s^-3,-1.0,
IWAVEBC,5,0,Total number of linear wave components entering computational domain from mesh boundary :envvar:`n`.,NONE,0,
HNWAVE,5,0.0,Wave elevation of non-linear wave at mesh boundary :envvar:`n`,cm,0,
GAM,5,3.3,Peak enhancement factor in JONSWAP spectrum. ,NON-DIM,3.3,
FBCT,"1, 5",1.0,Fluid fraction at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used when :envvar:`IHPBCT(n)` = 0.,NON-DIM,1.0,
CNCBCT,"1, 5",0.0,Volume fraction of the non-condensable gas component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.995,
RSATBCT,"1, 5",0.0,Relative saturation of the vapor component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.01,
FLHTBCT,"1, 5",-1.e10,Free-surface elevation at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,cm,-1e+08,
TBCT,"1, 5",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],25,
C0SPNGBC,5,0.0,damping coefficient at the starting side of the wave absorbing layer,1/s,0,
C1SPNGBC,5,1.0,damping coefficient at the end side of the wave absorbing layer,1/s,1,
USPNGBC,5,0.0,x-component of background stream velocity,cm/s,0,
VSPNGBC,5,0.0,y-component of background stream velocity,cm/s,0,
WSPNGBC,5,0.0,z-component of background stream velocity,cm/s,0,
IBCT,6,...,Boundary condition type at mesh block boundaries,NONE,2,
RWALL,6,1.0,"Surface area multiplier to account for roughness of mesh boundary :envvar:`n`. :envvar:`RWALL(n)` multiplies the cell-face area to give the effective heat transfer area for each cell, both fluid and solid. No heat transfer at mesh boundary :envvar:`n` if :envvar:`RWALL(n)` = 0. ",NON-DIM,1.0,
HWALL1,6,-1.0,Fixed heat transfer coefficient to fluid #1 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWALL2,6,-1.0,Fixed heat transfer coefficient to fluid #2 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWOBS,6,-1.0,Heat transfer coefficient between obstacles and wall mesh boundary,g K^-1 s^-3,-1.0,
IWAVEBC,6,0,Total number of linear wave components entering computational domain from mesh boundary :envvar:`n`.,NONE,0,
HNWAVE,6,0.0,Wave elevation of non-linear wave at mesh boundary :envvar:`n`,cm,0,
GAM,6,3.3,Peak enhancement factor in JONSWAP spectrum. ,NON-DIM,3.3,
FBCT,"1, 6",1.0,Fluid fraction at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used when :envvar:`IHPBCT(n)` = 0.,NON-DIM,1.0,
CNCBCT,"1, 6",0.0,Volume fraction of the non-condensable gas component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.995,
RSATBCT,"1, 6",0.0,Relative saturation of the vapor component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.01,
FLHTBCT,"1, 6",-1.e10,Free-surface elevation at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,cm,-1e+08,
TBCT,"1, 6",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],25,
C0SPNGBC,6,0.0,damping coefficient at the starting side of the wave absorbing layer,1/s,0,
C1SPNGBC,6,1.0,damping coefficient at the end side of the wave absorbing layer,1/s,1,
USPNGBC,6,0.0,x-component of background stream velocity,cm/s,0,
VSPNGBC,6,0.0,y-component of background stream velocity,cm/s,0,
WSPNGBC,6,0.0,z-component of background stream velocity,cm/s,0,
TIMBCT,1,0.0,Time table for mesh boundary conditions,s,0,
MESH,BLOCK,BLOCK,Mesh data for computational grid,BLOCK,BLOCK,BLOCK
MESHNAME,,mesh block no. ##,Mesh block name (up to 256 characters),NONE,'Mesh block 1',
SIZE,,0.0,"Cell size to be approximated for a uniform mesh. Used when :envvar:`IF_SIZE` = 1. :envvar:`SIZE` is used for directions for which a domain has been specified by :envvar:`PX`, :envvar:`PY`, and/or :envvar:`PZ`, but not the number of cells (:envvar:`NXCELT`, :envvar:`NYCELT`, or :envvar:`NZCELT`).",cm,0.004,
PX,1,...,nth location in x-direction for a mesh plane,cm,-0.12,
PX,2,...,nth location in x-direction for a mesh plane,cm,0.12,
PY,1,...,nth location in y-direction for a mesh plane,cm,-0.076,
PY,2,...,nth location in y-direction for a mesh plane,cm,0.076,
PZ,1,...,nth location in z-direction for a mesh plane,cm,-0.056,
PZ,2,...,nth location in z-direction for a mesh plane,cm,0.18,
BCDATA,BLOCK,BLOCK,Boundary condition parameters,BLOCK,BLOCK,BLOCK
IBCT,1,...,Boundary condition type at mesh block boundaries,NONE,2,
RWALL,1,1.0,"Surface area multiplier to account for roughness of mesh boundary :envvar:`n`. :envvar:`RWALL(n)` multiplies the cell-face area to give the effective heat transfer area for each cell, both fluid and solid. No heat transfer at mesh boundary :envvar:`n` if :envvar:`RWALL(n)` = 0. ",NON-DIM,1.0,
HWALL1,1,-1.0,Fixed heat transfer coefficient to fluid #1 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWALL2,1,-1.0,Fixed heat transfer coefficient to fluid #2 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWOBS,1,-1.0,Heat transfer coefficient between obstacles and wall mesh boundary,g K^-1 s^-3,-1.0,
IWAVEBC,1,0,Total number of linear wave components entering computational domain from mesh boundary :envvar:`n`.,NONE,0,
HNWAVE,1,0.0,Wave elevation of non-linear wave at mesh boundary :envvar:`n`,cm,0,
GAM,1,3.3,Peak enhancement factor in JONSWAP spectrum. ,NON-DIM,3.3,
FBCT,"1, 1",1.0,Fluid fraction at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used when :envvar:`IHPBCT(n)` = 0.,NON-DIM,1.0,
CNCBCT,"1, 1",0.0,Volume fraction of the non-condensable gas component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.995,
RSATBCT,"1, 1",0.0,Relative saturation of the vapor component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.01,
FLHTBCT,"1, 1",-1.e10,Free-surface elevation at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,cm,-1e+08,
TBCT,"1, 1",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],25,
C0SPNGBC,1,0.0,damping coefficient at the starting side of the wave absorbing layer,1/s,0,
C1SPNGBC,1,1.0,damping coefficient at the end side of the wave absorbing layer,1/s,1,
USPNGBC,1,0.0,x-component of background stream velocity,cm/s,0,
VSPNGBC,1,0.0,y-component of background stream velocity,cm/s,0,
WSPNGBC,1,0.0,z-component of background stream velocity,cm/s,0,
IBCT,2,...,Boundary condition type at mesh block boundaries,NONE,2,
RWALL,2,1.0,"Surface area multiplier to account for roughness of mesh boundary :envvar:`n`. :envvar:`RWALL(n)` multiplies the cell-face area to give the effective heat transfer area for each cell, both fluid and solid. No heat transfer at mesh boundary :envvar:`n` if :envvar:`RWALL(n)` = 0. ",NON-DIM,1.0,
HWALL1,2,-1.0,Fixed heat transfer coefficient to fluid #1 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWALL2,2,-1.0,Fixed heat transfer coefficient to fluid #2 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWOBS,2,-1.0,Heat transfer coefficient between obstacles and wall mesh boundary,g K^-1 s^-3,-1.0,
IWAVEBC,2,0,Total number of linear wave components entering computational domain from mesh boundary :envvar:`n`.,NONE,0,
HNWAVE,2,0.0,Wave elevation of non-linear wave at mesh boundary :envvar:`n`,cm,0,
GAM,2,3.3,Peak enhancement factor in JONSWAP spectrum. ,NON-DIM,3.3,
FBCT,"1, 2",1.0,Fluid fraction at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used when :envvar:`IHPBCT(n)` = 0.,NON-DIM,1.0,
CNCBCT,"1, 2",0.0,Volume fraction of the non-condensable gas component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.995,
RSATBCT,"1, 2",0.0,Relative saturation of the vapor component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.01,
FLHTBCT,"1, 2",-1.e10,Free-surface elevation at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,cm,-1e+08,
TBCT,"1, 2",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],25,
C0SPNGBC,2,0.0,damping coefficient at the starting side of the wave absorbing layer,1/s,0,
C1SPNGBC,2,1.0,damping coefficient at the end side of the wave absorbing layer,1/s,1,
USPNGBC,2,0.0,x-component of background stream velocity,cm/s,0,
VSPNGBC,2,0.0,y-component of background stream velocity,cm/s,0,
WSPNGBC,2,0.0,z-component of background stream velocity,cm/s,0,
IBCT,3,...,Boundary condition type at mesh block boundaries,NONE,2,
RWALL,3,1.0,"Surface area multiplier to account for roughness of mesh boundary :envvar:`n`. :envvar:`RWALL(n)` multiplies the cell-face area to give the effective heat transfer area for each cell, both fluid and solid. No heat transfer at mesh boundary :envvar:`n` if :envvar:`RWALL(n)` = 0. ",NON-DIM,1.0,
HWALL1,3,-1.0,Fixed heat transfer coefficient to fluid #1 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWALL2,3,-1.0,Fixed heat transfer coefficient to fluid #2 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWOBS,3,-1.0,Heat transfer coefficient between obstacles and wall mesh boundary,g K^-1 s^-3,-1.0,
IWAVEBC,3,0,Total number of linear wave components entering computational domain from mesh boundary :envvar:`n`.,NONE,0,
HNWAVE,3,0.0,Wave elevation of non-linear wave at mesh boundary :envvar:`n`,cm,0,
GAM,3,3.3,Peak enhancement factor in JONSWAP spectrum. ,NON-DIM,3.3,
FBCT,"1, 3",1.0,Fluid fraction at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used when :envvar:`IHPBCT(n)` = 0.,NON-DIM,1.0,
CNCBCT,"1, 3",0.0,Volume fraction of the non-condensable gas component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.995,
RSATBCT,"1, 3",0.0,Relative saturation of the vapor component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.01,
FLHTBCT,"1, 3",-1.e10,Free-surface elevation at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,cm,-1e+08,
TBCT,"1, 3",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],25,
C0SPNGBC,3,0.0,damping coefficient at the starting side of the wave absorbing layer,1/s,0,
C1SPNGBC,3,1.0,damping coefficient at the end side of the wave absorbing layer,1/s,1,
USPNGBC,3,0.0,x-component of background stream velocity,cm/s,0,
VSPNGBC,3,0.0,y-component of background stream velocity,cm/s,0,
WSPNGBC,3,0.0,z-component of background stream velocity,cm/s,0,
IBCT,4,...,Boundary condition type at mesh block boundaries,NONE,2,
RWALL,4,1.0,"Surface area multiplier to account for roughness of mesh boundary :envvar:`n`. :envvar:`RWALL(n)` multiplies the cell-face area to give the effective heat transfer area for each cell, both fluid and solid. No heat transfer at mesh boundary :envvar:`n` if :envvar:`RWALL(n)` = 0. ",NON-DIM,1.0,
HWALL1,4,-1.0,Fixed heat transfer coefficient to fluid #1 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWALL2,4,-1.0,Fixed heat transfer coefficient to fluid #2 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWOBS,4,-1.0,Heat transfer coefficient between obstacles and wall mesh boundary,g K^-1 s^-3,-1.0,
IWAVEBC,4,0,Total number of linear wave components entering computational domain from mesh boundary :envvar:`n`.,NONE,0,
HNWAVE,4,0.0,Wave elevation of non-linear wave at mesh boundary :envvar:`n`,cm,0,
GAM,4,3.3,Peak enhancement factor in JONSWAP spectrum. ,NON-DIM,3.3,
FBCT,"1, 4",1.0,Fluid fraction at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used when :envvar:`IHPBCT(n)` = 0.,NON-DIM,1.0,
CNCBCT,"1, 4",0.0,Volume fraction of the non-condensable gas component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.995,
RSATBCT,"1, 4",0.0,Relative saturation of the vapor component in the gas phase at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,NON-DIM,0.01,
FLHTBCT,"1, 4",-1.e10,Free-surface elevation at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`.,cm,-1e+08,
TBCT,"1, 4",TBCD,,"Temperature at mesh boundary :envvar:`n` at time :envvar:`TIMBCT(t)`. Used at wall-type boundaries when :envvar:`IBCT(n)` = 2 and :envvar:`IHTBCT(n)` = 0, or for fluid #1 at boundaries of type :envvar:`IBCT(n)` = 5, 6, 10 or 11.",[T],25,
C0SPNGBC,4,0.0,damping coefficient at the starting side of the wave absorbing layer,1/s,0,
C1SPNGBC,4,1.0,damping coefficient at the end side of the wave absorbing layer,1/s,1,
USPNGBC,4,0.0,x-component of background stream velocity,cm/s,0,
VSPNGBC,4,0.0,y-component of background stream velocity,cm/s,0,
WSPNGBC,4,0.0,z-component of background stream velocity,cm/s,0,
IBCT,5,...,Boundary condition type at mesh block boundaries,NONE,5,
RWALL,5,1.0,"Surface area multiplier to account for roughness of mesh boundary :envvar:`n`. :envvar:`RWALL(n)` multiplies the cell-face area to give the effective heat transfer area for each cell, both fluid and solid. No heat transfer at mesh boundary :envvar:`n` if :envvar:`RWALL(n)` = 0. ",NON-DIM,1.0,
HWALL1,5,-1.0,Fixed heat transfer coefficient to fluid #1 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWALL2,5,-1.0,Fixed heat transfer coefficient to fluid #2 from mesh boundary :envvar:`n`,g K^-1 s^-3,-1.0,
HWOBS,5,-1.0,Heat transfer coefficient between obstacles and wall mesh boundary,g K^-1 s^-3,-1.0,
IWAVEBC,5,0,Total number of linear wave components entering computational domain from mesh boundary :envvar:`n`.,NONE,0,
HNWAVE,5,0.0,Wave elevation of non-linear wave at mesh boundary :envvar:`n`,cm,0,
GAM,5,3.3,Peak enhancement factor in JONSWAP spectrum. ,NON-DIM,3.3,
